FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa,ResearchInstitutionType
Careers,888630,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,861686,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,905743,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,872774,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Science communication,25000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,28647,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Other
Science communication,16839,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,9917,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,10864,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Other
Science communication,23990,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,23500,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Other
Science communication,8954,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,8481,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of Teacher Education
Science communication,25000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,23045,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,3960,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,13000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,ETH Domain
Science communication,15000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,17306,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,17450,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,11485,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,13054,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,ETH Domain
Science communication,16640,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,17045,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,18000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,10433,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,8000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,18000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,14178,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,7340,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,ETH Domain
Science communication,7600,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,14000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,17550,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,15000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,18000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,13906,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Other
Science communication,14800,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
